BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
0.23	-1.67	-10.21
-11.90	-8.08	-14.66
-11.43	-8.27	-14.47
-1.91	-3.28	-11.65
-9.03	-7.52	-11.13
-8.61	-7.05	-10.98
-11.60	-8.57	-14.71
-0.03	2.96	-8.96
-1.88	-1.15	-10.05
-1.83	-3.04	-11.39
0.84	3.31	-8.80
-2.09	-1.97	-11.32
-2.10	-2.90	-11.34
-1.77	-2.83	-11.56
-1.48	-0.15	-11.29
-2.19	-2.14	-11.56
-0.95	-1.46	-10.82
-7.52	-4.98	-11.22
-11.84	-8.11	-14.68
-11.65	-8.44	-14.68
-10.91	-8.44	-12.69
-11.61	-8.52	-14.76
-11.64	-8.57	-14.72
-11.73	-8.60	-14.75
-9.72	-7.41	-12.92
-1.25	-2.78	-10.85
-1.97	-3.10	-11.38
-10.76	-8.23	-12.64
-11.40	-8.12	-14.37
-9.79	-9.14	-11.31
-8.42	-5.99	-12.66
-1.54	-1.65	-10.14
-11.82	-8.28	-14.74
-11.47	-8.50	-14.62
-11.67	-8.38	-14.70
-11.78	-8.13	-14.60
-10.69	-6.95	-12.30
-1.87	-0.88	-10.15
-8.56	-6.93	-12.40
-11.77	-8.15	-14.65
-11.53	-8.61	-14.71
-10.12	-8.42	-12.25
-9.02	-8.13	-12.08
-0.96	-0.97	-9.51
-2.72	-1.20	-10.46
-0.84	-1.55	-10.73
-2.09	-1.89	-9.84
-11.77	-8.92	-13.31
-0.87	-1.39	-10.71
-2.24	-3.21	-11.47
-11.29	-8.14	-14.32
-2.21	-2.30	-10.30
2.33	2.14	-5.19
1.28	-0.63	-9.00
-11.75	-8.12	-14.63
-0.50	0.94	-8.48
-1.45	-1.51	-10.06
-1.00	-0.36	-8.65
-11.70	-8.15	-14.62
-2.12	-2.80	-11.65
-2.41	-2.00	-12.00
-1.93	-2.56	-8.84
-1.04	-0.62	-10.95
-10.64	-8.81	-12.68
-2.40	-2.27	-10.24
0.56	-0.89	-9.70
-9.47	-7.15	-12.93
-1.97	-2.78	-10.74
-9.17	-6.25	-11.52
1.82	1.86	-8.02
-8.04	-6.16	-12.67
-1.68	-3.08	-11.31
-0.66	-0.97	-8.82
-2.42	-0.81	-9.12
-1.28	-1.26	-9.47
-1.22	-1.16	-9.79
-1.18	-1.18	-8.60
-11.75	-8.51	-14.73
-9.40	-7.11	-12.87
-0.88	-0.92	-8.76
-1.16	-1.36	-9.11
-0.05	2.87	-8.85
-7.65	-5.12	-11.18
-11.46	-8.50	-14.71
-6.56	-4.82	-10.61
-0.41	-1.39	-8.92
-0.70	-1.23	-9.65
-0.49	-1.40	-9.40
-11.81	-8.34	-14.75
-8.79	-6.20	-12.75
-2.22	-0.49	-10.29
-7.80	-5.13	-12.06
-9.04	-6.39	-11.64
-9.21	-7.01	-12.87
-11.41	-8.67	-14.68
-1.28	-0.23	-9.65
-11.65	-8.61	-14.84
-11.86	-7.98	-14.58
-2.12	-2.25	-11.45
-2.04	-2.91	-11.55
-11.46	-8.26	-14.52
-1.86	-3.28	-11.33
-1.80	-2.99	-11.56
-1.83	-3.34	-11.50
-2.46	-1.49	-9.80
-0.18	0.27	-8.17
-8.46	-6.33	-12.81
-0.93	-0.89	-11.01
-11.51	-8.66	-14.69
-1.93	-2.95	-11.39
-8.37	-4.39	-13.90
-11.75	-8.37	-14.73
-0.36	3.64	-9.16
-1.09	-0.97	-8.33
-9.30	-7.48	-11.99
0.63	-0.39	-9.19
-11.57	-8.04	-14.58
-9.73	-6.41	-11.86
-10.00	-9.49	-11.32
3.05	1.19	-5.32
-11.92	-7.84	-14.52
-11.71	-8.47	-14.71
-11.47	-8.26	-14.51
-10.78	-7.82	-14.33
-11.82	-8.33	-14.66
-10.07	-8.68	-13.96
-0.81	-2.76	-10.27
-0.63	-1.27	-10.86
-2.39	-0.55	-9.90
-0.43	-1.59	-10.57
-2.37	-1.63	-11.71
-10.63	-6.64	-12.28
-1.26	-1.18	-10.11
-11.72	-8.53	-14.73
-3.19	-0.41	-11.72
-0.11	-1.88	-10.49
