BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
4.90	4.94	-14.70
5.79	4.22	-11.06
0.14	-7.42	-17.09
-0.43	-3.94	-16.58
-1.83	2.86	-17.52
-11.24	-10.07	-23.92
-4.41	-0.55	-18.34
-3.79	-0.48	-16.35
-0.96	1.62	-17.16
-4.67	-1.70	-17.24
-2.15	-2.12	-16.73
-3.46	-1.55	-16.33
7.42	5.62	-11.28
-3.95	-1.39	-19.36
2.33	-1.09	-16.36
-7.93	-12.08	-21.95
-11.53	-11.28	-23.76
1.09	1.47	-15.91
0.75	4.16	-17.61
-1.15	1.95	-16.56
4.17	3.93	-14.06
3.45	3.91	-15.59
4.31	5.77	-13.87
-1.34	1.05	-17.97
3.93	4.01	-14.41
3.29	4.15	-13.84
-3.80	0.96	-15.87
-11.58	-9.74	-24.00
2.77	0.00	-15.40
1.59	3.14	-14.96
5.03	1.93	-13.71
-2.21	0.49	-16.63
-4.34	-1.00	-16.78
5.11	6.55	-16.47
-7.76	-5.75	-20.30
-2.97	-1.19	-17.78
-0.66	-3.15	-16.35
-10.38	-8.28	-23.21
4.66	6.93	-16.50
-6.53	-4.36	-20.29
-7.07	-3.07	-20.74
-8.92	-3.89	-20.87
-5.53	-0.65	-19.17
2.07	-2.79	-15.68
-3.54	-0.80	-18.96
4.69	6.64	-14.80
3.44	3.60	-15.48
3.99	4.17	-14.00
5.39	6.15	-14.55
-4.74	-0.50	-16.41
-4.74	0.30	-16.23
2.84	-1.58	-16.21
-2.21	-2.32	-16.79
-5.20	-3.53	-21.22
2.94	4.43	-15.47
1.91	-1.64	-16.16
0.50	1.54	-14.98
4.32	3.69	-13.84
2.38	-1.43	-17.12
-3.64	-0.65	-17.54
-3.95	-2.27	-19.17
5.66	5.46	-13.77
-12.39	-10.70	-24.20
4.49	0.64	-13.30
-2.34	3.26	-15.68
3.47	-1.19	-15.55
-9.24	-9.04	-22.56
-7.47	-3.70	-19.99
