BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
-11.81	-11.17	-29.02
-12.93	-10.51	-29.51
-13.78	-10.90	-29.85
-14.19	-9.86	-30.13
-14.00	-9.80	-29.81
-14.64	-10.13	-30.11
-6.62	-3.47	-21.14
-12.55	-10.53	-29.41
-10.83	-9.64	-28.90
-6.77	-2.45	-20.94
-9.82	-5.24	-25.63
-9.25	-4.58	-25.35
-8.82	-5.63	-24.59
-4.72	-4.22	-19.42
-3.49	-2.96	-19.56
-4.70	-2.52	-20.77
0.08	0.65	-18.99
-9.79	-11.12	-28.33
-14.29	-10.34	-30.02
-4.13	-3.88	-19.40
-13.86	-10.85	-29.78
-2.86	-4.00	-19.24
-8.13	-3.97	-24.77
-9.62	-10.58	-28.04
-7.49	-4.81	-24.57
-12.69	-10.76	-29.39
-13.64	-10.29	-29.83
-12.19	-11.11	-29.04
-9.43	-9.52	-28.86
-12.88	-10.73	-30.06
-13.06	-10.64	-29.59
-5.38	-3.96	-20.49
-2.19	-2.66	-19.40
-6.78	-3.63	-21.22
-6.67	-2.72	-20.95
-2.07	1.86	-18.26
-12.55	-10.91	-29.09
-5.00	-2.60	-20.43
-7.66	-3.77	-24.44
-4.65	-2.10	-19.60
-4.79	-2.12	-20.63
-13.43	-9.96	-29.84
-12.43	-10.29	-29.39
-3.93	-3.20	-19.67
-11.55	-10.03	-28.86
-12.47	-10.97	-28.92
-9.94	-4.08	-25.28
-4.09	-4.24	-18.75
-3.93	-3.65	-19.25
-11.27	-10.00	-28.92
-13.52	-9.77	-30.40
-5.76	-4.53	-21.36
-2.26	-2.07	-19.62
-4.48	-4.35	-19.52
-9.53	-4.54	-25.53
-9.79	-4.41	-25.70
-6.30	-4.17	-21.19
-1.93	-3.50	-18.77
-2.26	-4.41	-18.53
-12.91	-10.70	-29.32
-12.44	-10.80	-29.39
-3.86	-4.30	-20.25
-12.45	-10.53	-29.31
-2.18	-2.08	-19.33
-8.61	-4.94	-25.02
-12.78	-10.59	-29.41
-3.80	-3.90	-19.23
2.92	6.62	-16.15
-10.07	-3.97	-25.84
-2.80	-3.81	-18.89
-2.90	-0.76	-19.42
-12.01	-11.34	-28.92
-3.61	-4.86	-18.88
-3.23	-3.19	-19.33
-2.39	-3.01	-19.19
-6.53	-3.54	-21.14
-12.52	-10.84	-29.05
-12.71	-10.06	-29.57
-12.43	-10.97	-28.93
1.07	1.48	-14.80
-11.84	-11.39	-28.96
-0.48	0.15	-18.86
-9.87	-10.51	-28.23
-3.44	-3.69	-19.14
-2.97	1.17	-18.26
-11.02	-9.88	-28.42
-4.10	-2.04	-20.31
-12.37	-10.62	-29.38
-2.40	-3.09	-19.47
-7.84	-4.07	-24.15
-12.27	-10.18	-29.17
-4.10	-3.56	-19.22
-3.08	-3.48	-19.65
-4.01	-0.78	-21.30
-12.33	-11.10	-28.89
-11.58	-10.24	-28.46
-0.85	-2.33	-18.47
-14.01	-10.05	-29.89
-9.25	-4.92	-25.47
-12.39	-10.47	-29.23
-13.83	-9.80	-30.51
-9.83	-10.02	-28.45
-8.87	-4.55	-25.20
-9.26	-4.99	-25.39
-11.96	-10.77	-29.03
-10.31	-4.11	-25.86
-12.87	-10.64	-29.17
-9.70	-10.87	-28.03
-12.29	-11.15	-29.16
-13.76	-10.10	-29.97
-14.29	-10.82	-29.89
-2.98	-2.86	-19.43
-11.49	-10.06	-28.95
-9.54	-10.00	-28.45
-12.40	-11.04	-28.90
-11.71	-10.17	-29.17
-9.65	-4.13	-25.74
-5.71	-3.28	-20.54
-11.30	-10.00	-28.77
-4.26	-3.00	-19.61
-12.61	-11.17	-29.21
-13.54	-9.67	-29.96
-12.67	-10.58	-29.43
-1.93	-4.20	-18.45
-2.67	1.70	-18.00
